Geoid,tract,ResidentalBuildings,ResidentialVacancies,percent of vacant properties
42003472100,472100,1326,41,0.03092006
42003472200,472200,1160,16,0.013793103
42003472300,472300,1031,21,0.020368574
42003472400,472400,836,13,0.015550239
42003473100,473100,2368,43,0.018158784
42003473200,473200,1829,14,0.007654456
42003473300,473300,2490,21,0.008433735
42003473401,473401,1969,17,0.008633824
42003473402,473402,1392,10,0.007183908
42003473500,473500,1340,9,0.006716418
42003473601,473601,1464,11,0.007513661
42003473602,473602,2175,8,0.003678161
42003474101,474101,1551,12,0.007736944
42003474102,474102,1410,15,0.010638298
42003474201,474201,1424,9,0.006320225
42003474202,474202,1996,25,0.01252505
42003474203,474203,1762,11,0.006242906
42003475101,475101,2678,24,0.008961912
42003475102,475102,684,14,0.020467836
42003475200,475200,1993,24,0.012042148
42003475301,475301,2485,30,0.012072435
42003475303,475303,1619,9,0.005558987
42003475304,475304,2335,8,0.003426124
42003475401,475401,1761,8,0.004542873
42003475402,475402,1312,7,0.005335366
42003476100,476100,2645,37,0.013988658
42003476200,476200,1511,16,0.010589014
42003477100,477100,1748,3,0.001716247
42003477200,477200,2053,10,0.004870921
42003477300,477300,2922,39,0.013347023
42003478100,478100,2427,51,0.021013597
42003478200,478200,2607,101,0.038741849
42003479000,479000,858,5,0.005827506
42003480101,480101,2451,77,0.031415749
42003480102,480102,1444,22,0.015235457
42003480200,480200,1503,33,0.021956088
42003480300,480300,1627,18,0.011063307
42003480400,480400,2327,18,0.007735281
42003481000,481000,2338,237,0.101368691
42003482500,482500,1037,71,0.068466731
42003483800,483800,1968,237,0.120426829
42003484300,484300,1962,198,0.100917431
42003484500,484500,2883,124,0.043010753
42003484600,484600,1105,50,0.045248869
42003485000,485000,637,44,0.069073783
42003486700,486700,1464,173,0.118169399
42003486800,486800,1027,212,0.206426485
42003486900,486900,905,143,0.15801105
42003487000,487000,1031,86,0.083414161
42003488100,488100,1056,38,0.035984848
42003488200,488200,1960,51,0.026020408
42003488300,488300,1044,13,0.012452107
42003488400,488400,2319,31,0.013367831
42003488500,488500,1566,39,0.024904215
42003488600,488600,3051,109,0.035725991
42003489001,489001,2161,16,0.00740398
42003489002,489002,1614,10,0.006195787
42003490002,490002,2828,0,0
42003490003,490003,1551,16,0.010315925
42003490004,490004,1989,0,0
42003491101,491101,2816,0,0
42003491200,491200,1048,5,0.004770992
42003492700,492700,1212,228,0.188118812
42003492800,492800,1594,180,0.112923463
42003492900,492900,1301,124,0.095311299
42003494000,494000,728,75,0.103021978
42003495000,495000,1445,15,0.010380623
42003496101,496101,1247,16,0.012830794
42003496102,496102,2082,31,0.014889529
42003496200,496200,2470,68,0.027530364
42003497000,497000,463,2,0.004319654
42003498000,498000,1176,21,0.017857143
42003499300,499300,793,65,0.081967213
42003499400,499400,1562,186,0.119078105
42003500300,500300,1886,50,0.026511135
42003501000,501000,904,50,0.055309735
42003503002,503002,2954,86,0.029113067
42003504100,504100,2754,156,0.05664488
42003507000,507000,1203,85,0.070656692
42003508000,508000,1206,126,0.104477612
42003509400,509400,2895,222,0.076683938
42003510000,510000,1075,179,0.166511628
42003512000,512000,1243,128,0.102976669
42003512800,512800,1060,238,0.224528302
42003512900,512900,776,52,0.067010309
42003513800,513800,1411,137,0.097094259
42003514000,514000,1088,44,0.040441176
42003515100,515100,1566,97,0.061941252
42003515200,515200,1252,49,0.03913738
42003515300,515300,1340,87,0.064925373
42003515401,515401,1207,39,0.032311516
42003516100,516100,798,13,0.016290727
42003516200,516200,953,16,0.016789087
42003517000,517000,938,28,0.029850746
42003518001,518001,2037,13,0.006381934
42003519000,519000,1494,18,0.012048193
42003520001,520001,1666,26,0.015606242
42003520002,520002,1781,76,0.042672656
42003521100,521100,2193,18,0.008207934
42003521200,521200,2422,44,0.018166804
42003521301,521301,2191,30,0.013692378
42003521302,521302,3026,22,0.007270324
42003521401,521401,1311,7,0.005339436
42003521402,521402,1566,6,0.003831418
42003521500,521500,1957,6,0.003065917
42003522000,522000,1844,185,0.10032538
42003523100,523100,2116,200,0.094517958
42003523200,523200,2003,93,0.046430354
42003523300,523300,1858,37,0.019913886
42003523400,523400,3053,43,0.014084507
42003523501,523501,2092,30,0.014340344
42003523502,523502,751,35,0.046604527
42003523600,523600,2334,31,0.013281919
42003523701,523701,1966,70,0.03560529
42003523702,523702,2732,72,0.026354319
42003523800,523800,2486,74,0.029766693
42003524000,524000,1318,103,0.07814871
42003525100,525100,1052,8,0.007604563
42003525200,525200,1374,22,0.016011645
42003525300,525300,998,26,0.026052104
42003526101,526101,3411,75,0.021987687
42003526102,526102,887,17,0.019165727
42003526201,526201,1550,7,0.004516129
42003526202,526202,2107,15,0.007119127
42003526301,526301,1686,0,0
42003526302,526302,1953,8,0.004096262
42003550900,550900,1077,201,0.186629526
42003551200,551200,1981,158,0.079757698
42003551300,551300,1236,37,0.029935275
42003551900,551900,986,51,0.051724138
42003552000,552000,1289,156,0.12102405
42003552100,552100,1298,21,0.016178737
42003552200,552200,651,54,0.082949309
42003552300,552300,1327,253,0.190655614
42003552400,552400,1608,80,0.049751244
42003560400,560400,1108,88,0.079422383
42003560500,560500,1352,43,0.031804734
42003560600,560600,996,72,0.072289157
42003561000,561000,995,127,0.127638191
42003561100,561100,567,77,0.135802469
42003561200,561200,987,86,0.087132725
42003561400,561400,2638,117,0.044351782
42003561500,561500,1664,168,0.100961538
42003561600,561600,1105,88,0.079638009
42003561700,561700,723,30,0.041493776
42003561900,561900,1216,159,0.130756579
42003562000,562000,2149,30,0.013959981
42003562300,562300,1981,73,0.036850076
42003562400,562400,1636,191,0.116748166
42003562500,562500,1524,189,0.124015748
42003562600,562600,1567,157,0.100191449
42003562700,562700,2225,49,0.022022472
42003562800,562800,833,30,0.036014406
